state,city,attraction_name,category,description,time_hours,estimated_visit_cost_inr,cost_category,popularity_score,best_time_to_visit,budget_level,poi_summary
tripura,agartala,ujjayanta palace,palace,historical,1.5,460,medium,15750,all,moderate,Ujjayanta Palace — Historical. Category: palace. Estimated visit time: 1.5 hrs. Cost: ₹460. Best time to visit: all. Average rating: 4.5
uttar pradesh,agra,taj mahal,mausoleum,historical,2,650,medium,1034999,morning,moderate,Taj Mahal — Historical. Category: mausoleum. Estimated visit time: 2.0 hrs. Cost: ₹650. Best time to visit: morning. Average rating: 4.6
uttar pradesh,agra,agra fort,fort,historical,2,640,medium,585000,afternoon,moderate,Agra Fort — Historical. Category: fort. Estimated visit time: 2.0 hrs. Cost: ₹640. Best time to visit: afternoon. Average rating: 4.5
gujarat,ahmedabad,manek chowk,market,food,2,600,medium,215600,night,moderate,Manek Chowk — Food. Category: market. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: night. Average rating: 4.4
gujarat,ahmedabad,sabarmati ashram,historical,historical,1.5,450,medium,161000,morning,moderate,Sabarmati Ashram — Historical. Category: historical. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: morning. Average rating: 4.6
gujarat,ahmedabad,kankaria lake,lake,recreational,3,910,medium,135000,afternoon,moderate,Kankaria Lake — Recreational. Category: lake. Estimated visit time: 3.0 hrs. Cost: ₹910. Best time to visit: afternoon. Average rating: 4.5
gujarat,ahmedabad,science city,science,educational,7,2600,high,48400,all,luxury,Science City — Educational. Category: science. Estimated visit time: 7.0 hrs. Cost: ₹2600. Best time to visit: all. Average rating: 4.4
gujarat,ahmedabad,sabarmati riverfront,urban development project,recreational,1,300,low,46000,evening,budget,Sabarmati Riverfront — Recreational. Category: urban development project. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: evening. Average rating: 4.6
maharashtra,ajanta,ellora caves,cave,historical,3,930,medium,230300,afternoon,moderate,Ellora Caves — Historical. Category: cave. Estimated visit time: 3.0 hrs. Cost: ₹930. Best time to visit: afternoon. Average rating: 4.7
rajasthan,ajmer,ajmer sharif dargah,shrine,religious,1,300,low,161000,all,budget,Ajmer Sharif Dargah — Religious. Category: shrine. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.6
kerala,alappuzha,alappuzha beach,beach,recreational,1.5,450,medium,49500,all,moderate,Alappuzha Beach — Recreational. Category: beach. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: all. Average rating: 4.5
maharastra,alibaug,alibaug beach,beach,recreational,1.5,450,medium,21000,evening,moderate,Alibaug Beach — Recreational. Category: beach. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: evening. Average rating: 4.2
uttar pradesh,aligarh,aligarh fort,fort,historical,1,320,medium,6764,afternoon,moderate,Aligarh Fort — Historical. Category: fort. Estimated visit time: 1.0 hrs. Cost: ₹320. Best time to visit: afternoon. Average rating: 4.1
uttar pradesh,allahabad,triveni sangam,confluence,religious,1,300,low,40500,morning,budget,Triveni Sangam — Religious. Category: confluence. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.5
uttarakhand,almora,binsar wildlife sanctuary,wildlife sanctuary,wildlife,2,750,medium,4300,all,moderate,Binsar Wildlife Sanctuary — Wildlife. Category: wildlife sanctuary. Estimated visit time: 2.0 hrs. Cost: ₹750. Best time to visit: all. Average rating: 4.3
madhya pradesh,amarkantak,narmada udgam temple,temple,religious,1,300,low,4400,all,budget,Narmada Udgam Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.4
andhra pradesh,amravati,amaravathi temple,temple,religious,1,300,low,19270,all,budget,Amaravathi Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
punjab,amritsar,golden temple (harmandir sahib),religious site,spiritual,1.5,450,medium,931000,all,moderate,Golden Temple (Harmandir Sahib) — Spiritual. Category: religious site. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: all. Average rating: 4.9
punjab,amritsar,jallianwala bagh,memorial,historical,1,300,low,144000,afternoon,budget,Jallianwala Bagh — Historical. Category: memorial. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: afternoon. Average rating: 4.8
punjab,amritsar,wagah border,border crossing,cultural,2,600,medium,81600,evening,moderate,Wagah Border — Cultural. Category: border crossing. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: evening. Average rating: 4.8
andhra pradesh,anantapur,lepakshi,site,historical,1.5,450,medium,34500,all,moderate,Lepakshi — Historical. Category: site. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: all. Average rating: 4.6
jammu and kashmir,anantnag,amarnath cave,temple,religious,6,1800,high,49500,all,luxury,Amarnath Cave — Religious. Category: temple. Estimated visit time: 6.0 hrs. Cost: ₹1800. Best time to visit: all. Average rating: 4.5
