state,city,attraction_name,category,description,time_hours,estimated_visit_cost_inr,cost_category,popularity_score,best_time_to_visit,budget_level,popularity_norm
tripura,agartala,ujjayanta palace,palace,historical,1.5,460,medium,15750,all,moderate,0.003426572377591216
uttar pradesh,agra,taj mahal,mausoleum,historical,2.0,650,medium,1034999,morning,moderate,0.30321459549239543
uttar pradesh,agra,agra fort,fort,historical,2.0,640,medium,585000,afternoon,moderate,0.17085801666461264
gujarat,ahmedabad,manek chowk,market,food,2.0,600,medium,215600,night,moderate,0.06220773028845855
gujarat,ahmedabad,sabarmati ashram,historical,historical,1.5,450,medium,161000,morning,moderate,0.04614842970335294
gujarat,ahmedabad,kankaria lake,lake,recreational,3.0,910,medium,135000,afternoon,moderate,0.0385011437104455
gujarat,ahmedabad,science city,science,educational,7.0,2600,high,48400,all,luxury,0.013029798826376898
gujarat,ahmedabad,sabarmati riverfront,urban development project,recreational,1.0,300,low,46000,evening,budget,0.012323895503954673
maharashtra,ajanta,ellora caves,cave,historical,3.0,930,medium,230300,afternoon,moderate,0.06653138813829468
rajasthan,ajmer,ajmer sharif dargah,shrine,religious,1.0,300,low,161000,all,budget,0.04614842970335294
kerala,alappuzha,alappuzha beach,beach,recreational,1.5,450,medium,49500,all,moderate,0.01335333784915375
maharastra,alibaug,alibaug beach,beach,recreational,1.5,450,medium,21000,evening,moderate,0.004970735895389832
uttar pradesh,aligarh,aligarh fort,fort,historical,1.0,320,medium,6764,afternoon,moderate,0.0007835526878886694
uttar pradesh,allahabad,triveni sangam,confluence,religious,1.0,300,low,40500,morning,budget,0.010706200390070407
uttarakhand,almora,binsar wildlife sanctuary,wildlife sanctuary,wildlife,2.0,750,medium,4300,all,moderate,5.8825276868518726e-05
madhya pradesh,amarkantak,narmada udgam temple,temple,religious,1.0,300,low,4400,all,budget,8.823791530277809e-05
andhra pradesh,amravati,amaravathi temple,temple,religious,1.0,300,low,19270,all,budget,0.004461897250477145
punjab,amritsar,golden temple (harmandir sahib),religious site,spiritual,1.5,450,medium,931000,all,moderate,0.27262574564715003
punjab,amritsar,jallianwala bagh,memorial,historical,1.0,300,low,144000,afternoon,budget,0.04114828116952885
punjab,amritsar,wagah border,border crossing,cultural,2.0,600,medium,81600,evening,moderate,0.022794794786551005
andhra pradesh,anantapur,lepakshi,site,historical,1.5,450,medium,34500,all,moderate,0.008941442084014846
jammu and kashmir,anantnag,amarnath cave,temple,religious,6.0,1800,high,49500,all,luxury,0.01335333784915375
uttarakhand,auli,auli ski resort,ski resort,adventure,3.0,900,medium,4500,morning,moderate,0.00011765055373703745
maharastra,aurangabad,ajanta caves,cave,historical,3.0,930,medium,96599,afternoon,moderate,0.02720639642530557
puducherry,auroville,auroville,township,cultural,2.0,600,medium,14349,all,moderate,0.003014501313127242
uttar pradesh,ayodhya,ram janmabhoomi,religious site,religious,1.0,300,low,12000,all,budget,0.0023235984363064897
karnataka,badami,badami cave temples,cave,religious,1.5,480,medium,92000,all,moderate,0.02585370918371398
uttarakhand,badrinath,badrinath temple,temple,religious,1.0,300,low,139195,all,budget,0.03973500389276269
odisha,balasore,chandipur beach,beach,recreational,1.5,450,medium,5880,morning,moderate,0.0005235449641298167
madhya pradesh,bandhavgarh,bandhavgarh national park,national park,wildlife,3.0,950,medium,22500,morning,moderate,0.005411925471903722
karnataka,bandipur,bandipur national park,national park,wildlife,3.0,1200,high,66000,morning,luxury,0.018206423190806547
karnataka,bangalore,lalbagh botanical garden,botanical garden,nature,1.5,470,medium,660000,evening,moderate,0.19291749549030715
karnataka,bangalore,cubbon park,park,nature,1.0,300,low,580800,morning,budget,0.16962268585037374
karnataka,bangalore,iskcon temple bangalore,temple,religious,1.0,300,low,524395,evening,budget,0.15303248714152975
karnataka,bangalore,bangalore palace,palace,historical,2.0,1100,high,378000,morning,luxury,0.10997385510569575
karnataka,bangalore,vidhana soudha,government building,architectural,0.5,150,low,368000,morning,budget,0.10703259126226983
andaman and nicobar islands,baratang island,limestone caves,natural feature,nature,1.5,700,medium,6600,morning,moderate,0.0007353159608564841
himachal pradesh,barot,barot valley,valley,nature,2.0,600,medium,564000,morning,moderate,0.16468136259341817
chhattisgarh,bastar,chitrakote falls,waterfall,nature,1.5,450,medium,87400,morning,moderate,0.02450072781573805
kerala,bekal,bekal fort,fort,historical,1.5,470,medium,99000,all,moderate,0.027912593874112136
karnataka,bengaluru,orion mall,mall,shopping,2.0,600,medium,810000,all,moderate,0.2370364531416962
karnataka,bengaluru,wonderla amusement park,amusement park,entertainment,4.0,2090,high,427500,all,luxury,0.12453311113065414
odisha,berhampur,tara tarini temple,temple,religious,1.0,300,low,4600,all,budget,0.00014706319217129682
madhya pradesh,bhimbetka,bhimbetka rock shelters,prehistoric site,archaeological,2.0,625,medium,32199,afternoon,moderate,0.008264657273642539
madhya pradesh,bhopal,madhya pradesh tribal museum,museum,cultural,2.0,610,medium,70500,all,moderate,0.019529991920348218
madhya pradesh,bhopal,sanchi stupa,monument,historical,1.5,480,medium,4700,afternoon,moderate,0.00017647583060555617
odisha,bhubaneswar,nandankanan zoological park,zoo,wildlife,3.0,950,medium,356400,afternoon,moderate,0.10362072520389573
odisha,bhubaneswar,lingaraj temple,temple,religious,1.0,300,low,161000,all,budget,0.04614842970335294
gujarat,bhuj,white desert,site,nature,2.5,750,medium,55199,evening,moderate,0.015029564113522192
karnataka,bijapur,gol gumbaz,mausoleum,historical,1.5,470,medium,112500,all,moderate,0.03188330006273715
rajasthan,bikaner,junagarh fort,fort,historical,2.0,650,medium,144000,all,moderate,0.04114828116952885
himachal pradesh,bir billing,paragliding site,adventure sport,adventure,2.0,3100,high,4800,all,luxury,0.00020588846903981555
bihar,bodh gaya,mahabodhi temple,temple,religious,1.5,450,medium,94000,all,moderate,0.026441961952399166
west bengal,bolpur,kankalitala temple,temple,religious,0.5,150,low,21150,all,budget,0.005014854853041221
himachal pradesh,chamba,chamera lake,lake,recreational,2.0,600,medium,4400,morning,moderate,8.823791530277809e-05
punjab,chandigarh,rock garden,sculpture garden,artistic,2.0,630,medium,225000,all,moderate,0.06497251830127893
tamil nadu,chennai,marina beach,beach,recreational,1.5,450,medium,39000,morning,moderate,0.010265010813556517
meghalaya,cherrapunji,living root bridge,natural feature,nature,2.0,600,medium,27599,morning,moderate,0.006911675905666608
tamil nadu,chidambaram,nataraja temple,temple,religious,1.0,300,low,131600,all,budget,0.03750111400368069
karnataka,chikmagalur,mullayanagiri,mountain peak,nature,3.0,900,medium,22500,all,moderate,0.005411925471903722
odisha,chilika,chilika lake,lake,nature,2.0,600,medium,39000,morning,moderate,0.010265010813556517
madhya pradesh,chitrakoot,chitrakoot falls,waterfall,nature,1.5,450,medium,44000,morning,moderate,0.011735642735269485
rajasthan,chittorgarh,chittorgarh fort,fort,historical,2.0,640,medium,873999,all,moderate,0.25586024761323783
uttarakhand,chopta,tungnath temple,temple,religious,2.0,600,medium,43200,all,moderate,0.01150034162779541
tamil nadu,coimbatore,marudamalai temple,temple,religious,1.0,300,low,141000,all,budget,0.04026590201650107
west bengal,cooch behar,cooch behar palace,palace,historical,1.0,320,medium,40500,all,moderate,0.010706200390070407
karnataka,coorg,abbey falls,waterfall,nature,1.0,300,low,12299,morning,budget,0.002411542225224925
odisha,cuttack,barabati fort,fort,historical,1.0,300,low,58500,all,budget,0.016000475308237092
himachal pradesh,dalhousie,dalai lama temple,temple,religious,1.5,450,medium,70500,all,moderate,0.019529991920348218
himachal pradesh,dalhousie,khajjiar lake,lake,nature,1.5,450,medium,45000,morning,moderate,0.01202976911961208
west bengal,darjeeling,tiger hill,sunrise point,nature,1.0,300,low,11250,all,budget,0.0021030036480495446
uttarakhand,dehradun,robber's cave,cave,nature,1.5,475,medium,4500,morning,moderate,0.00011765055373703745
delhi,delhi,india gate,war memorial,historical,0.5,150,low,1196000,evening,budget,0.35056923749793734
delhi,delhi,red fort,fort,historical,2.0,635,medium,675000,afternoon,moderate,0.19732939125544607
delhi,delhi,qutub minar,monument,historical,1.0,335,medium,616500,afternoon,moderate,0.18012299777140434
delhi,delhi,lotus temple,temple,religious,1.0,300,low,265500,evening,budget,0.07688463686715398
delhi,delhi,lodhi garden,park,botanical,1.0,300,low,216000,all,budget,0.06232538084219559
delhi,delhi,akshardham temple,temple,religious,5.0,1560,high,184000,afternoon,luxury,0.052913336543232596
delhi,delhi,humayun's tomb,tomb,historical,2.0,630,medium,180000,afternoon,moderate,0.05173683100586222
delhi,delhi,agrasen ki baoli,stepwell,historical,1.0,300,low,172200,afternoon,budget,0.04944264520798999
delhi,delhi,national zoological park,zoo,environmental,3.0,980,medium,168099,all,moderate,0.04823643290580101
delhi,delhi,jantar mantar,observatory,scientific,2.0,615,medium,130200,morning,moderate,0.03708933706560106
delhi,delhi,waste to wonder park,theme park,environmental,2.0,650,medium,110699,evening,moderate,0.03135357844453614
delhi,delhi,chandni chowk,market,market,3.0,900,medium,105000,afternoon,moderate,0.029677352180167697
delhi,delhi,national science centre,science,scientific,5.0,1570,high,101200,all,luxury,0.028559671919665842
delhi,delhi,garden of five senses,park,botanical,2.0,635,medium,94299,morning,moderate,0.026529905741317604
delhi,delhi,sunder nursery,park,botanical,2.0,600,medium,73600,afternoon,moderate,0.020441783711810258
delhi,delhi,national gallery of modern art,museum,artistic,3.0,920,medium,36000,all,moderate,0.009382631660528737
jharkhand,deoghar,baba baidyanath temple,temple,religious,1.0,300,low,846000,all,budget,0.24762500297802958
west bengal,digha,digha beach,beach,recreational,1.5,450,medium,40500,morning,moderate,0.010706200390070407
ladakh,diskit,diskit monastery,monastery,religious,1.0,320,medium,7050,morning,moderate,0.0008676728338106512
daman and diu,diu,diu fort,fort,historical,1.5,450,medium,552000,afternoon,moderate,0.16115184598130705
daman and diu,diu,naida caves,cave,nature,1.0,300,low,270000,afternoon,budget,0.07820820559669564
ladakh,dras,dras war memorial,war memorial,historical,1.0,300,low,5760,all,budget,0.0004882497980087054
tripura,dumboor,dumboor lake,lake,nature,1.0,300,low,4500,morning,budget,0.00011765055373703745
gujarat,dwarka,dwarkadhish temple,temple,religious,2.0,600,medium,277300,evening,moderate,0.08035532820239658
nagaland,dzãƒâ¼kou valley,dzãƒâ¼kou valley,valley,trekking,3.0,900,medium,4700,afternoon,moderate,0.00017647583060555617
uttar pradesh,fatehpur sikri,buland darwaza,monument,historical,2.0,640,medium,30800,afternoon,moderate,0.00785317446194725
gujarat,gandhinagar,akshardham,temple,religious,3.0,900,medium,82800,all,moderate,0.02314774644776212
gujarat,gandhinagar,dandi kutir,museum,historical,1.5,450,medium,22500,all,moderate,0.005411925471903722
sikkim,gangtok,tsomgo lake,lake,nature,2.0,600,medium,67500,morning,moderate,0.018647612767320437
