state,city,attraction_name,category,description,time_hours,estimated_visit_cost_inr,cost_category,popularity_score,best_time_to_visit,budget_level,popularity_norm,latitude,longitude,dist_km_to_city_center,proximity_score,poi_budget_ord,user_budget_ord,budget_match,target_score,city_id,budget_id,costcat_id,cat_id
tripura,agartala,ujjayanta palace,palace,historical,-0.301046257992439,-0.31414725472988947,medium,15750,all,moderate,0.007052489286572601,23.8369868,91.2827507,-0.38313784690838787,1.0,1,1,1.0,0.40423149357194355,0,2,2,34
uttar pradesh,agra,taj mahal,mausoleum,historical,0.2214307186886533,0.05891371326685429,medium,1034999,morning,moderate,0.6240690260118805,27.1750075,78.0421013,-0.30111066857503593,0.988904871175461,1,1,1.0,0.7716676334009935,1,2,2,25
uttar pradesh,agra,agra fort,fort,historical,0.2214307186886533,0.03927892547755198,medium,585000,afternoon,moderate,0.35165588210901494,27.1798258,78.0208223,-0.30111233165875745,0.9889050961268553,1,1,1.0,0.6082198032971228,1,2,2,13
gujarat,ahmedabad,manek chowk,market,food,0.2214307186886533,-0.039260225679657236,medium,215600,night,moderate,0.12803446215537384,23.0231798,72.5889516,-0.17922150597208336,0.972417945879811,1,1,1.0,0.46992516376317706,2,2,2,24
gujarat,ahmedabad,sabarmati ashram,historical,historical,-0.301046257992439,-0.3337820425191918,medium,161000,morning,moderate,0.09498159391100783,23.0601651,72.5806382,-0.16613375162417146,0.9706476750565982,1,1,1.0,0.4496508751107543,2,2,2,19
gujarat,ahmedabad,kankaria lake,lake,recreational,1.2663846720508378,0.5694181957887142,medium,135000,afternoon,moderate,0.0792421328422621,23.0061433,72.5995212,-0.022842291005032364,0.9512658403119636,1,1,1.0,0.43536173978334813,2,2,2,21
gujarat,ahmedabad,science city,science,educational,5.446200485499577,3.8876973321808035,high,48400,all,luxury,0.026817620205593667,23.077854,72.494798,0.27380806754719783,0.9111404329670127,2,2,1.0,0.3938756803651094,2,1,0,42
gujarat,ahmedabad,sabarmati riverfront,urban development project,recreational,-0.8235232346735313,-0.6283038593587263,low,46000,evening,budget,0.025364746876170987,23.0192844,72.5736364,-0.22438999433467643,0.9785275086780828,0,0,1.0,0.40985072529522326,2,0,1,53
rajasthan,ajmer,ajmer sharif dargah,shrine,religious,-0.8235232346735313,-0.6283038593587263,low,161000,all,budget,0.09498159391100783,26.4563076,74.6279567,-0.38313784690838787,1.0,0,0,1.0,0.45698895634660475,3,0,1,43
kerala,alappuzha,alappuzha beach,beach,recreational,-0.301046257992439,-0.3337820425191918,medium,49500,all,moderate,0.027483520481579066,9.4824643,76.3199375,-0.38313784690838787,1.0,1,1,1.0,0.4164901122889474,4,2,2,2
uttar pradesh,aligarh,aligarh fort,fort,historical,-0.8235232346735313,-0.5890342837801218,medium,6764,afternoon,moderate,0.0016126893956591767,27.9298953,78.0637324,-0.38313784690838787,1.0,1,1,1.0,0.4009676136373955,5,2,2,13
uttar pradesh,allahabad,triveni sangam,confluence,religious,-0.8235232346735313,-0.6283038593587263,low,40500,morning,budget,0.022035245496244006,25.4222299,81.8923259,-0.38313784690838787,1.0,0,0,1.0,0.4132211472977464,6,0,1,8
punjab,amritsar,golden temple (harmandir sahib),religious site,spiritual,-0.301046257992439,-0.3337820425191918,medium,931000,all,moderate,0.5611117871007849,31.6199787,74.8765281,-0.36322208309936654,0.9973061615724219,1,1,1.0,0.7359936126535764,7,2,2,39
punjab,amritsar,jallianwala bagh,memorial,historical,-0.8235232346735313,-0.6283038593587263,low,144000,afternoon,budget,0.08469040782759717,31.6208537,74.8801304,-0.3713377628476312,0.9984039015427006,0,0,1.0,0.45041522008223345,7,0,1,26
punjab,amritsar,wagah border,border crossing,cultural,0.2214307186886533,-0.039260225679657236,medium,81600,evening,moderate,0.04691570126260743,31.6236655,74.8793363,-0.36432188152342954,0.9974549220862411,1,1,1.0,0.4275131512791247,7,2,2,4
