city,state,attraction_name,category,latitude,longitude,estimated_visit_cost_inr,time_hours,cost_category,city_id,cat_id,costcat_id,budget_id,proximity_score,budget_match
agartala,tripura,ujjayanta palace,palace,23.8369868,91.2827507,-0.3141472547298894,-0.301046257992439,medium,0,34,2,2,1.0,1.0
agra,uttar pradesh,taj mahal,mausoleum,27.1750075,78.0421013,0.0589137132668542,0.2214307186886533,medium,1,25,2,2,0.988904871175461,1.0
agra,uttar pradesh,agra fort,fort,27.1798258,78.0208223,0.0392789254775519,0.2214307186886533,medium,1,13,2,2,0.9889050961268552,1.0
ahmedabad,gujarat,manek chowk,market,23.0231798,72.5889516,-0.0392602256796572,0.2214307186886533,medium,2,24,2,2,0.972417945879811,1.0
ahmedabad,gujarat,sabarmati ashram,historical,23.0601651,72.5806382,-0.3337820425191918,-0.301046257992439,medium,2,19,2,2,0.9706476750565982,1.0
ahmedabad,gujarat,kankaria lake,lake,23.0061433,72.5995212,0.5694181957887142,1.2663846720508378,medium,2,21,2,2,0.9512658403119636,1.0
ahmedabad,gujarat,science city,science,23.077854,72.494798,3.887697332180804,5.446200485499577,high,2,42,0,1,0.9111404329670127,1.0
ahmedabad,gujarat,sabarmati riverfront,urban development project,23.0192844,72.5736364,-0.6283038593587263,-0.8235232346735313,low,2,53,1,0,0.9785275086780828,1.0
ajmer,rajasthan,ajmer sharif dargah,shrine,26.4563076,74.6279567,-0.6283038593587263,-0.8235232346735313,low,3,43,1,0,1.0,1.0
alappuzha,kerala,alappuzha beach,beach,9.4824643,76.3199375,-0.3337820425191918,-0.301046257992439,medium,4,2,2,2,1.0,1.0
aligarh,uttar pradesh,aligarh fort,fort,27.9298953,78.0637324,-0.5890342837801218,-0.8235232346735313,medium,5,13,2,2,1.0,1.0
allahabad,uttar pradesh,triveni sangam,confluence,25.4222299,81.8923259,-0.6283038593587263,-0.8235232346735313,low,6,8,1,0,1.0,1.0
amritsar,punjab,golden temple (harmandir sahib),religious site,31.6199787,74.8765281,-0.3337820425191918,-0.301046257992439,medium,7,39,2,2,0.997306161572422,1.0
amritsar,punjab,jallianwala bagh,memorial,31.6208537,74.8801304,-0.6283038593587263,-0.8235232346735313,low,7,26,1,0,0.9984039015427006,1.0
amritsar,punjab,wagah border,border crossing,31.6236655,74.8793363,-0.0392602256796572,0.2214307186886533,medium,7,4,2,2,0.9974549220862412,1.0
anantapur,andhra pradesh,lepakshi,site,14.6321073,77.6250314,-0.3337820425191918,-0.301046257992439,medium,8,44,2,2,1.0,1.0
anantnag,jammu and kashmir,amarnath cave,temple,34.215635,75.5038297,2.316914309036619,4.401246532137392,high,9,49,0,1,1.0,1.0
auroville,puducherry,auroville,township,12.0098532,79.8109509,-0.0392602256796572,0.2214307186886533,medium,10,52,2,2,1.0,1.0
ayodhya,uttar pradesh,ram janmabhoomi,religious site,26.7956398,82.1945757,-0.6283038593587263,-0.8235232346735313,low,11,39,1,0,1.0,1.0
badami,karnataka,badami cave temples,cave,15.9183722,75.6843849,-0.2748776791512848,-0.301046257992439,medium,12,6,2,2,1.0,1.0
badrinath,uttarakhand,badrinath temple,temple,30.7446884,79.4911584,-0.6283038593587263,-0.8235232346735313,low,13,49,1,0,1.0,1.0
bandhavgarh,madhya pradesh,bandhavgarh national park,national park,23.7180358,81.0262902,0.6479573469459234,1.2663846720508378,medium,14,32,2,2,1.0,1.0
bangalore,karnataka,cubbon park,park,12.9808954,77.597562,-0.6283038593587263,-0.8235232346735313,low,15,35,1,0,0.9789121596567582,1.0
bangalore,karnataka,iskcon temple bangalore,temple,13.0118968,77.551535,-0.6283038593587263,-0.8235232346735313,low,15,49,1,0,0.9590230521345192,1.0
bangalore,karnataka,bangalore palace,palace,12.9985954,77.5920086,0.942479163785458,0.2214307186886533,high,15,34,0,1,0.987976310774554,1.0
bangalore,karnataka,vidhana soudha,government building,12.9797454,77.5906167,-0.922825676198261,-1.3460002113546234,low,15,15,1,0,0.982919055152597,1.0
bekal,kerala,bekal fort,fort,12.3922238,75.0327651,-0.2945124669405872,-0.301046257992439,medium,16,13,2,2,1.0,1.0
bengaluru,karnataka,orion mall,mall,13.0109788,77.5552238,-0.0392602256796572,0.2214307186886533,medium,17,23,2,2,0.8679708010809077,1.0
bengaluru,karnataka,wonderla amusement park,amusement park,12.8344839,77.4000054,2.886323154926386,2.311338625413023,high,17,0,0,1,0.867951037324803,1.0
bhubaneswar,odisha,lingaraj temple,temple,20.238369,85.833719,-0.6283038593587263,-0.8235232346735313,low,18,49,1,0,1.0,1.0
bhuj,gujarat,white desert,site,23.8304196,69.5200898,0.2552615911598773,0.7439076953697455,medium,19,44,2,2,1.0,1.0
bijapur,karnataka,gol gumbaz,mausoleum,16.8296264,75.7360096,-0.2945124669405872,-0.301046257992439,medium,20,25,2,2,1.0,1.0
bikaner,rajasthan,junagarh fort,fort,28.0223479,73.318133,0.0589137132668542,0.2214307186886533,medium,21,13,2,2,1.0,1.0
bodh gaya,bihar,mahabodhi temple,temple,24.6959303,84.9913903,-0.3337820425191918,-0.301046257992439,medium,22,49,2,2,1.0,1.0
chennai,tamil nadu,marina beach,beach,13.0532752,80.2833106,-0.3337820425191918,-0.301046257992439,medium,23,2,2,2,1.0,1.0
chidambaram,tamil nadu,nataraja temple,temple,11.3993037,79.6936521,-0.6283038593587263,-0.8235232346735313,low,24,49,1,0,1.0,1.0
chikmagalur,karnataka,mullayanagiri,mountain peak,13.3909217,75.7214034,0.5497834079994118,1.2663846720508378,medium,25,30,2,2,1.0,1.0
chittorgarh,rajasthan,chittorgarh fort,fort,24.8817143,74.6466948,0.0392789254775519,0.2214307186886533,medium,26,13,2,2,1.0,1.0
cuttack,odisha,barabati fort,fort,20.4852763,85.8650129,-0.6283038593587263,-0.8235232346735313,low,27,13,1,0,1.0,1.0
darjeeling,west bengal,tiger hill,sunrise point,26.9949013,88.2853306,-0.6283038593587263,-0.8235232346735313,low,28,47,1,0,1.0,1.0
dehradun,uttarakhand,robber's cave,cave,30.3770123,78.0622066,-0.284695073045936,-0.301046257992439,medium,29,6,2,2,1.0,1.0
delhi,delhi,india gate,war memorial,28.6129332,77.2294928,-0.922825676198261,-1.3460002113546234,low,30,57,1,0,0.9857679923717646,1.0
delhi,delhi,red fort,fort,28.656081,77.2407959,0.0294615315829008,0.2214307186886533,medium,30,13,2,2,0.935601394692056,1.0
delhi,delhi,qutub minar,monument,28.524413,77.1854501,-0.5595821020961683,-0.8235232346735313,medium,30,28,2,2,0.9035671502413932,1.0
delhi,delhi,lotus temple,temple,28.5533586,77.2586006,-0.6283038593587263,-0.8235232346735313,low,30,49,1,0,0.938635336369554,1.0
delhi,delhi,lodhi garden,park,28.5962998,77.2215497,-0.6283038593587263,-0.8235232346735313,low,30,35,1,0,0.9916697415700928,1.0
delhi,delhi,akshardham temple,temple,28.6125167,77.2773184,1.845679402093364,3.356292578775207,high,30,49,0,1,0.9493614251425546,1.0
delhi,delhi,humayun's tomb,tomb,28.5932856,77.2506468,0.0196441376882496,0.2214307186886533,medium,30,50,2,2,0.9764102008588325,1.0
delhi,delhi,agrasen ki baoli,stepwell,28.6260676,77.2250111,-0.6283038593587263,-0.8235232346735313,low,30,46,1,0,0.9706851299420906,1.0
