state,city,attraction_name,category,description,time_hours,estimated_visit_cost_inr,cost_category,popularity_score,best_time_to_visit,budget_level,popularity_norm,latitude,longitude
tripura,agartala,ujjayanta palace,palace,historical,1.5,460,medium,15750,all,moderate,0.0034265723775912,23.8369868,91.2827507
uttar pradesh,agra,taj mahal,mausoleum,historical,2.0,650,medium,1034999,morning,moderate,0.3032145954923954,27.1750075,78.0421013
uttar pradesh,agra,agra fort,fort,historical,2.0,640,medium,585000,afternoon,moderate,0.1708580166646126,27.1798258,78.0208223
gujarat,ahmedabad,manek chowk,market,food,2.0,600,medium,215600,night,moderate,0.0622077302884585,23.0231798,72.5889516
gujarat,ahmedabad,sabarmati ashram,historical,historical,1.5,450,medium,161000,morning,moderate,0.0461484297033529,23.0601651,72.5806382
gujarat,ahmedabad,kankaria lake,lake,recreational,3.0,910,medium,135000,afternoon,moderate,0.0385011437104455,23.0061433,72.5995212
gujarat,ahmedabad,science city,science,educational,7.0,2600,high,48400,all,luxury,0.0130297988263768,23.077854,72.494798
gujarat,ahmedabad,sabarmati riverfront,urban development project,recreational,1.0,300,low,46000,evening,budget,0.0123238955039546,23.0192844,72.5736364
maharashtra,ajanta,ellora caves,cave,historical,3.0,930,medium,230300,afternoon,moderate,0.0665313881382946,,
rajasthan,ajmer,ajmer sharif dargah,shrine,religious,1.0,300,low,161000,all,budget,0.0461484297033529,26.4563076,74.6279567
kerala,alappuzha,alappuzha beach,beach,recreational,1.5,450,medium,49500,all,moderate,0.0133533378491537,9.4824643,76.3199375
maharastra,alibaug,alibaug beach,beach,recreational,1.5,450,medium,21000,evening,moderate,0.0049707358953898,,
uttar pradesh,aligarh,aligarh fort,fort,historical,1.0,320,medium,6764,afternoon,moderate,0.0007835526878886,27.9298953,78.0637324
uttar pradesh,allahabad,triveni sangam,confluence,religious,1.0,300,low,40500,morning,budget,0.0107062003900704,25.4222299,81.8923259
uttarakhand,almora,binsar wildlife sanctuary,wildlife sanctuary,wildlife,2.0,750,medium,4300,all,moderate,5.8825276868518726e-05,,
madhya pradesh,amarkantak,narmada udgam temple,temple,religious,1.0,300,low,4400,all,budget,8.823791530277809e-05,,
andhra pradesh,amravati,amaravathi temple,temple,religious,1.0,300,low,19270,all,budget,0.0044618972504771,,
punjab,amritsar,golden temple (harmandir sahib),religious site,spiritual,1.5,450,medium,931000,all,moderate,0.27262574564715,31.6199787,74.8765281
punjab,amritsar,jallianwala bagh,memorial,historical,1.0,300,low,144000,afternoon,budget,0.0411482811695288,31.6208537,74.8801304
punjab,amritsar,wagah border,border crossing,cultural,2.0,600,medium,81600,evening,moderate,0.022794794786551,31.6236655,74.8793363
andhra pradesh,anantapur,lepakshi,site,historical,1.5,450,medium,34500,all,moderate,0.0089414420840148,14.6321073,77.6250314
jammu and kashmir,anantnag,amarnath cave,temple,religious,6.0,1800,high,49500,all,luxury,0.0133533378491537,34.215635,75.5038297
uttarakhand,auli,auli ski resort,ski resort,adventure,3.0,900,medium,4500,morning,moderate,0.000117650553737,,
maharastra,aurangabad,ajanta caves,cave,historical,3.0,930,medium,96599,afternoon,moderate,0.0272063964253055,,
puducherry,auroville,auroville,township,cultural,2.0,600,medium,14349,all,moderate,0.0030145013131272,12.0098532,79.8109509
uttar pradesh,ayodhya,ram janmabhoomi,religious site,religious,1.0,300,low,12000,all,budget,0.0023235984363064,26.7956398,82.1945757
karnataka,badami,badami cave temples,cave,religious,1.5,480,medium,92000,all,moderate,0.0258537091837139,15.9183722,75.6843849
uttarakhand,badrinath,badrinath temple,temple,religious,1.0,300,low,139195,all,budget,0.0397350038927626,30.7446884,79.4911584
odisha,balasore,chandipur beach,beach,recreational,1.5,450,medium,5880,morning,moderate,0.0005235449641298,,
madhya pradesh,bandhavgarh,bandhavgarh national park,national park,wildlife,3.0,950,medium,22500,morning,moderate,0.0054119254719037,23.7180358,81.0262902
karnataka,bandipur,bandipur national park,national park,wildlife,3.0,1200,high,66000,morning,luxury,0.0182064231908065,,
karnataka,bangalore,lalbagh botanical garden,botanical garden,nature,1.5,470,medium,660000,evening,moderate,0.1929174954903071,,
karnataka,bangalore,cubbon park,park,nature,1.0,300,low,580800,morning,budget,0.1696226858503737,12.9808954,77.597562
karnataka,bangalore,iskcon temple bangalore,temple,religious,1.0,300,low,524395,evening,budget,0.1530324871415297,13.0118968,77.551535
karnataka,bangalore,bangalore palace,palace,historical,2.0,1100,high,378000,morning,luxury,0.1099738551056957,12.9985954,77.5920086
karnataka,bangalore,vidhana soudha,government building,architectural,0.5,150,low,368000,morning,budget,0.1070325912622698,12.9797454,77.5906167
andaman and nicobar islands,baratang island,limestone caves,natural feature,nature,1.5,700,medium,6600,morning,moderate,0.0007353159608564,,
himachal pradesh,barot,barot valley,valley,nature,2.0,600,medium,564000,morning,moderate,0.1646813625934181,,
chhattisgarh,bastar,chitrakote falls,waterfall,nature,1.5,450,medium,87400,morning,moderate,0.024500727815738,,
kerala,bekal,bekal fort,fort,historical,1.5,470,medium,99000,all,moderate,0.0279125938741121,12.3922238,75.0327651
karnataka,bengaluru,orion mall,mall,shopping,2.0,600,medium,810000,all,moderate,0.2370364531416962,13.0109788,77.5552238
karnataka,bengaluru,wonderla amusement park,amusement park,entertainment,4.0,2090,high,427500,all,luxury,0.1245331111306541,12.8344839,77.4000054
odisha,berhampur,tara tarini temple,temple,religious,1.0,300,low,4600,all,budget,0.0001470631921712,,
madhya pradesh,bhimbetka,bhimbetka rock shelters,prehistoric site,archaeological,2.0,625,medium,32199,afternoon,moderate,0.0082646572736425,,
madhya pradesh,bhopal,madhya pradesh tribal museum,museum,cultural,2.0,610,medium,70500,all,moderate,0.0195299919203482,,
madhya pradesh,bhopal,sanchi stupa,monument,historical,1.5,480,medium,4700,afternoon,moderate,0.0001764758306055,,
odisha,bhubaneswar,nandankanan zoological park,zoo,wildlife,3.0,950,medium,356400,afternoon,moderate,0.1036207252038957,,
odisha,bhubaneswar,lingaraj temple,temple,religious,1.0,300,low,161000,all,budget,0.0461484297033529,20.238369,85.833719
gujarat,bhuj,white desert,site,nature,2.5,750,medium,55199,evening,moderate,0.0150295641135221,23.8304196,69.5200898
karnataka,bijapur,gol gumbaz,mausoleum,historical,1.5,470,medium,112500,all,moderate,0.0318833000627371,16.8296264,75.7360096
rajasthan,bikaner,junagarh fort,fort,historical,2.0,650,medium,144000,all,moderate,0.0411482811695288,28.0223479,73.318133
himachal pradesh,bir billing,paragliding site,adventure sport,adventure,2.0,3100,high,4800,all,luxury,0.0002058884690398,,
bihar,bodh gaya,mahabodhi temple,temple,religious,1.5,450,medium,94000,all,moderate,0.0264419619523991,24.6959303,84.9913903
west bengal,bolpur,kankalitala temple,temple,religious,0.5,150,low,21150,all,budget,0.0050148548530412,,
himachal pradesh,chamba,chamera lake,lake,recreational,2.0,600,medium,4400,morning,moderate,8.823791530277809e-05,,
punjab,chandigarh,rock garden,sculpture garden,artistic,2.0,630,medium,225000,all,moderate,0.0649725183012789,,
tamil nadu,chennai,marina beach,beach,recreational,1.5,450,medium,39000,morning,moderate,0.0102650108135565,13.0532752,80.2833106
meghalaya,cherrapunji,living root bridge,natural feature,nature,2.0,600,medium,27599,morning,moderate,0.0069116759056666,,
tamil nadu,chidambaram,nataraja temple,temple,religious,1.0,300,low,131600,all,budget,0.0375011140036806,11.3993037,79.6936521
karnataka,chikmagalur,mullayanagiri,mountain peak,nature,3.0,900,medium,22500,all,moderate,0.0054119254719037,13.3909217,75.7214034
odisha,chilika,chilika lake,lake,nature,2.0,600,medium,39000,morning,moderate,0.0102650108135565,,
madhya pradesh,chitrakoot,chitrakoot falls,waterfall,nature,1.5,450,medium,44000,morning,moderate,0.0117356427352694,,
rajasthan,chittorgarh,chittorgarh fort,fort,historical,2.0,640,medium,873999,all,moderate,0.2558602476132378,24.8817143,74.6466948
